title,start,source
国民经济运行情况新闻发布会,2023-1-17 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-3-15 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-4-18 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-5-16 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-6-15 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-7-17 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-8-15 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-9-15 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-10-18 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-11-15 10:00:00,国家统计局
国民经济运行情况新闻发布会,2023-12-15 10:00:00,国家统计局
2022年国民经济和社会发展统计公报,2023-2-28 9:30:00,国家统计局
季度主要行业增加值初步核算报告,2023-1-18 9:30:00,国家统计局
季度主要行业增加值初步核算报告,2023-4-19 9:30:00,国家统计局
季度主要行业增加值初步核算报告,2023-7-18 9:30:00,国家统计局
季度主要行业增加值初步核算报告,2023-10-19 9:30:00,国家统计局
采购经理指数月度报告,2023-1-31 9:30:00,国家统计局
采购经理指数月度报告,2023-3-1 9:30:00,国家统计局
采购经理指数月度报告,2023-4-30 9:30:00,国家统计局
采购经理指数月度报告,2023-5-31 9:30:00,国家统计局
采购经理指数月度报告,2023-6-30 9:30:00,国家统计局
采购经理指数月度报告,2023-7-31 9:30:00,国家统计局
采购经理指数月度报告,2023-8-31 9:30:00,国家统计局
采购经理指数月度报告,2023-9-30 9:30:00,国家统计局
采购经理指数月度报告,2023-10-31 9:30:00,国家统计局
采购经理指数月度报告,2023-11-30 9:30:00,国家统计局
采购经理指数月度报告,2023-12-31 9:30:00,国家统计局
居民消费价格指数月度报告,2023-1-12 9:30:00,国家统计局
居民消费价格指数月度报告,2023-2-10 9:30:00,国家统计局
居民消费价格指数月度报告,2023-3-9 9:30:00,国家统计局
居民消费价格指数月度报告,2023-4-11 9:30:00,国家统计局
居民消费价格指数月度报告,2023-5-11 9:30:00,国家统计局
居民消费价格指数月度报告,2023-6-9 9:30:00,国家统计局
居民消费价格指数月度报告,2023-7-10 9:30:00,国家统计局
居民消费价格指数月度报告,2023-8-9 9:30:00,国家统计局
居民消费价格指数月度报告,2023-9-9 9:30:00,国家统计局
居民消费价格指数月度报告,2023-10-13 9:30:00,国家统计局
居民消费价格指数月度报告,2023-11-9 9:30:00,国家统计局
居民消费价格指数月度报告,2023-12-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-1-12 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-2-10 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-3-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-4-11 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-5-11 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-6-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-7-10 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-8-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-9-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-10-13 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-11-9 9:30:00,国家统计局
工业生产者价格指数月度报告,2023-12-9 9:30:00,国家统计局
规模以上工业生产月度报告,2023-1-17 10:00:00,国家统计局
规模以上工业生产月度报告,2023-3-15 10:00:00,国家统计局
规模以上工业生产月度报告,2023-4-18 10:00:00,国家统计局
规模以上工业生产月度报告,2023-5-16 10:00:00,国家统计局
规模以上工业生产月度报告,2023-6-15 10:00:00,国家统计局
规模以上工业生产月度报告,2023-7-17 10:00:00,国家统计局
规模以上工业生产月度报告,2023-8-15 10:00:00,国家统计局
规模以上工业生产月度报告,2023-9-15 10:00:00,国家统计局
规模以上工业生产月度报告,2023-10-18 10:00:00,国家统计局
规模以上工业生产月度报告,2023-11-15 10:00:00,国家统计局
规模以上工业生产月度报告,2023-12-15 10:00:00,国家统计局
能源生产情况月度报告,2023-1-17 10:00:00,国家统计局
能源生产情况月度报告,2023-3-15 10:00:00,国家统计局
能源生产情况月度报告,2023-4-18 10:00:00,国家统计局
能源生产情况月度报告,2023-5-16 10:00:00,国家统计局
能源生产情况月度报告,2023-6-15 10:00:00,国家统计局
能源生产情况月度报告,2023-7-17 10:00:00,国家统计局
能源生产情况月度报告,2023-8-15 10:00:00,国家统计局
能源生产情况月度报告,2023-9-15 10:00:00,国家统计局
能源生产情况月度报告,2023-10-18 10:00:00,国家统计局
能源生产情况月度报告,2023-11-15 10:00:00,国家统计局
能源生产情况月度报告,2023-12-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-1-17 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-3-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-4-18 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-5-16 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-6-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-7-17 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-8-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-9-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-10-18 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-11-15 10:00:00,国家统计局
固定资产投资（不含农户）月度报告,2023-12-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-1-17 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-3-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-4-18 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-5-16 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-6-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-7-17 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-8-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-9-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-10-18 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-11-15 10:00:00,国家统计局
房地产开发和销售情况月度报告,2023-12-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-1-17 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-3-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-4-18 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-5-16 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-6-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-7-17 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-8-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-9-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-10-18 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-11-15 10:00:00,国家统计局
社会消费品零售总额月度报告,2023-12-15 10:00:00,国家统计局
全国居民收支情况季度报告,2023-1-17 10:00:00,国家统计局
全国居民收支情况季度报告,2023-4-18 10:00:00,国家统计局
全国居民收支情况季度报告,2023-7-17 10:00:00,国家统计局
全国居民收支情况季度报告,2023-10-18 10:00:00,国家统计局
全国工业产能利用率季度报告,2023-1-17 10:00:00,国家统计局
全国工业产能利用率季度报告,2023-4-18 10:00:00,国家统计局
全国工业产能利用率季度报告,2023-7-17 10:00:00,国家统计局
全国工业产能利用率季度报告,2023-10-18 10:00:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-1-16 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-2-16 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-3-16 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-4-15 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-5-17 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-6-15 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-7-15 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-8-16 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-9-15 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-10-19 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-11-16 9:30:00,国家统计局
70个大中城市住宅销售价格月度报告,2023-12-15 9:30:00,国家统计局
工业经济效益月度报告,2023-1-31 9:30:00,国家统计局
工业经济效益月度报告,2023-3-27 9:30:00,国家统计局
工业经济效益月度报告,2023-4-27 9:30:00,国家统计局
工业经济效益月度报告,2023-5-27 9:30:00,国家统计局
工业经济效益月度报告,2023-6-28 9:30:00,国家统计局
工业经济效益月度报告,2023-7-27 9:30:00,国家统计局
工业经济效益月度报告,2023-8-27 9:30:00,国家统计局
工业经济效益月度报告,2023-9-27 9:30:00,国家统计局
工业经济效益月度报告,2023-10-27 9:30:00,国家统计局
工业经济效益月度报告,2023-11-27 9:30:00,国家统计局
工业经济效益月度报告,2023-12-27 9:30:00,国家统计局
规模以上文化及相关产业生产经营季度报告,2023-1-30 9:30:00,国家统计局
规模以上文化及相关产业生产经营季度报告,2023-4-29 9:30:00,国家统计局
规模以上文化及相关产业生产经营季度报告,2023-7-30 9:30:00,国家统计局
规模以上文化及相关产业生产经营季度报告,2023-10-30 9:30:00,国家统计局
